ubigeo;Region;Province;District;Area;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
10601;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;206.01;3952;4043.059469;4133.610072;4223.717946;4313.465345;4402.951345;4492.292195;4581.621;4671.086409;4760.84995;4851.081734;4941.95433;5033.634774;5126.274851;5220;5315.59766;5413.46669;5513.037227;5613.665436;5714.679485;5815.417468;5915.255289;6013.624235;6110.019259;6204;6295.187161
10602;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;153;1461;1490.579561;1521.132745;1552.72407;1585.422503;1619.301985;1654.441869;1690.927143;1728.848306;1768.300768;1809.383635;1852.197768;1896.843059;1943.414912;1992;2043.54472;2098.882325;2157.886951;2220.399901;2286.243215;2355.230943;2427.177385;2501.902086;2579.231801;2659;2741.044761
10603;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;199.44;590;590.8982276;591.5884493;592.0957536;592.4456899;592.6642682;592.7779125;592.8133362;592.7973061;592.7562686;592.71582;592.7000204;592.7305657;592.8258542;593;593.7258546;595.3726584;597.7911943;600.8300184;604.3388924;608.1712974;612.185985;616.2476557;620.2269507;624;627.447801
10604;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;99.56;4193;4158.149988;4118.834531;4075.5142;4028.649163;3978.695921;3926.104039;3871.312719;3814.747057;3756.813881;3697.897181;3638.353207;3578.505441;3518.639741;3459;3398.925683;3337.603528;3274.98832;3211.030247;3145.704456;3079.0297;3011.076781;2941.968634;2871.874405;2801;2729.57736
10605;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;317.88;1937;2037.31571;2135.861716;2231.715548;2323.915971;2411.47647;2493.400357;2568.697063;2636.399089;2695.579034;2745.36618;2784.962166;2813.655467;2830.834579;2836;2833.107258;2825.730766;2812.88521;2793.617439;2767.052054;2732.431524;2689.149137;2636.774121;2575.069026;2504;2423.740823
10606;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;66.24;1876;1883.177367;1888.986523;1893.546302;1896.980062;1899.415122;1900.982095;1901.814008;1902.045117;1901.809327;1901.238172;1900.458352;1899.588893;1898.73803;1898;1894.771406;1886.716627;1874.321963;1858.084806;1838.520168;1816.162948;1791.565878;1765.293961;1737.916756;1710;1682.097969
10607;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;176.18;1629;1631.421464;1633.151552;1634.259784;1634.81716;1634.896097;1634.570251;1633.91412;1633.002336;1631.908586;1630.704104;1629.455742;1628.223666;1627.058775;1626;1624.506486;1622.028093;1618.564007;1614.106835;1608.656889;1602.232313;1594.874907;1586.652111;1577.655954;1568;1557.815306
10608;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;26.8;768;768.9449588;769.1732507;768.7226579;767.6329803;765.9457926;763.7041392;760.9521288;757.7343906;754.0953669;750.0784308;745.7248406;741.0725673;736.1550554;731;721.8475005;705.6871005;683.7551548;657.3422805;627.7220676;596.0940256;563.5420722;531.0085279;499.282416;469;440.6549878
10609;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;175.13;3584;3850.635597;4126.85393;4411.523668;4703.289277;5000.566878;5301.544024;5604.183512;5906.231069;6205.226644;6498.518946;6783.282933;7056.540205;7315.182626;7556;7788.460796;8022.136276;8253.560104;8478.858748;8693.842035;8894.102421;9075.118639;9232.361035;9361.397486;9458;9518.252848
10610;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;34.11;676;670.0309184;663.8999803;657.640986;651.2869363;644.8700487;638.4217233;631.9724283;625.551475;619.1866631;612.9037882;606.7260187;600.6731692;594.7609144;589;583.4887319;578.2732455;573.2780766;568.4274887;563.6503234;558.883331;554.073029;549.1762958;544.1599998;539;533.6798495
